nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	32.7757
Total grid length: 	69.643
Total number of grid points: 	696
Distance at last grid point: 	69.7
Imag time prop grid with size: g_load.size() = 1500
  is fit into
Real time prop grid with size: g_prop.size() = 34800
Now I am storing
Norm of orbital: 1.000000e+00
timestep 74800 of 666781, Norm of wave function: 1
timestep 75000 of 666781, Norm of wave function: 1
timestep 75200 of 666781, Norm of wave function: 1
timestep 75400 of 666781, Norm of wave function: 1
timestep 75600 of 666781, Norm of wave function: 1
timestep 75800 of 666781, Norm of wave function: 1
timestep 76000 of 666781, Norm of wave function: 1
timestep 76200 of 666781, Norm of wave function: 1
timestep 76400 of 666781, Norm of wave function: 1
timestep 76600 of 666781, Norm of wave function: 1
timestep 76800 of 666781, Norm of wave function: 1
timestep 77000 of 666781, Norm of wave function: 1
timestep 77200 of 666781, Norm of wave function: 1
timestep 77400 of 666781, Norm of wave function: 1
timestep 77600 of 666781, Norm of wave function: 1
timestep 77800 of 666781, Norm of wave function: 1
timestep 78000 of 666781, Norm of wave function: 1
timestep 78200 of 666781, Norm of wave function: 1
timestep 78400 of 666781, Norm of wave function: 1
timestep 78600 of 666781, Norm of wave function: 1
timestep 78800 of 666781, Norm of wave function: 1
timestep 79000 of 666781, Norm of wave function: 1
timestep 79200 of 666781, Norm of wave function: 1
timestep 79400 of 666781, Norm of wave function: 1
timestep 79600 of 666781, Norm of wave function: 1
timestep 79800 of 666781, Norm of wave function: 1
timestep 80000 of 666781, Norm of wave function: 1
timestep 80200 of 666781, Norm of wave function: 1
timestep 80400 of 666781, Norm of wave function: 1
timestep 80600 of 666781, Norm of wave function: 1
timestep 80800 of 666781, Norm of wave function: 1
timestep 81000 of 666781, Norm of wave function: 1
timestep 81200 of 666781, Norm of wave function: 1
timestep 81400 of 666781, Norm of wave function: 1
timestep 81600 of 666781, Norm of wave function: 1
timestep 81800 of 666781, Norm of wave function: 1
timestep 82000 of 666781, Norm of wave function: 1
timestep 82200 of 666781, Norm of wave function: 1
timestep 82400 of 666781, Norm of wave function: 1
timestep 82600 of 666781, Norm of wave function: 1
timestep 82800 of 666781, Norm of wave function: 1
timestep 83000 of 666781, Norm of wave function: 1
timestep 83200 of 666781, Norm of wave function: 1
timestep 83400 of 666781, Norm of wave function: 1
timestep 83600 of 666781, Norm of wave function: 1
timestep 83800 of 666781, Norm of wave function: 1
timestep 84000 of 666781, Norm of wave function: 1
timestep 84200 of 666781, Norm of wave function: 1
timestep 84400 of 666781, Norm of wave function: 1
timestep 84600 of 666781, Norm of wave function: 1
timestep 84800 of 666781, Norm of wave function: 1
timestep 85000 of 666781, Norm of wave function: 1
timestep 85200 of 666781, Norm of wave function: 1
timestep 85400 of 666781, Norm of wave function: 1
timestep 85600 of 666781, Norm of wave function: 1
timestep 85800 of 666781, Norm of wave function: 1
timestep 86000 of 666781, Norm of wave function: 1
timestep 86200 of 666781, Norm of wave function: 1
timestep 86400 of 666781, Norm of wave function: 1
timestep 86600 of 666781, Norm of wave function: 1
timestep 86800 of 666781, Norm of wave function: 1
timestep 87000 of 666781, Norm of wave function: 1
timestep 87200 of 666781, Norm of wave function: 1
timestep 87400 of 666781, Norm of wave function: 1
timestep 87600 of 666781, Norm of wave function: 1
timestep 87800 of 666781, Norm of wave function: 1
timestep 88000 of 666781, Norm of wave function: 1
timestep 88200 of 666781, Norm of wave function: 1
timestep 88400 of 666781, Norm of wave function: 1
timestep 88600 of 666781, Norm of wave function: 1
timestep 88800 of 666781, Norm of wave function: 1
timestep 89000 of 666781, Norm of wave function: 1
timestep 89200 of 666781, Norm of wave function: 1
timestep 89400 of 666781, Norm of wave function: 1
timestep 89600 of 666781, Norm of wave function: 1
timestep 89800 of 666781, Norm of wave function: 1
timestep 90000 of 666781, Norm of wave function: 1
timestep 90200 of 666781, Norm of wave function: 1
timestep 90400 of 666781, Norm of wave function: 1
timestep 90600 of 666781, Norm of wave function: 1
timestep 90800 of 666781, Norm of wave function: 1
timestep 91000 of 666781, Norm of wave function: 1
timestep 91200 of 666781, Norm of wave function: 1
timestep 91400 of 666781, Norm of wave function: 1
timestep 91600 of 666781, Norm of wave function: 1
timestep 91800 of 666781, Norm of wave function: 1
timestep 92000 of 666781, Norm of wave function: 1
timestep 92200 of 666781, Norm of wave function: 1
timestep 92400 of 666781, Norm of wave function: 1
timestep 92600 of 666781, Norm of wave function: 1
timestep 92800 of 666781, Norm of wave function: 1
timestep 93000 of 666781, Norm of wave function: 1
timestep 93200 of 666781, Norm of wave function: 1
