nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	81.3015
Total number of grid points: 	813
Distance at last grid point: 	81.4
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 40650
Now I am storing
Norm of orbital: 1.000000e+00
timestep 57000 of 666781, Norm of wave function: 0.996181
timestep 57200 of 666781, Norm of wave function: 0.99616
timestep 57400 of 666781, Norm of wave function: 0.996139
timestep 57600 of 666781, Norm of wave function: 0.996118
timestep 57800 of 666781, Norm of wave function: 0.996097
timestep 58000 of 666781, Norm of wave function: 0.996075
timestep 58200 of 666781, Norm of wave function: 0.996053
timestep 58400 of 666781, Norm of wave function: 0.996031
timestep 58600 of 666781, Norm of wave function: 0.996009
timestep 58800 of 666781, Norm of wave function: 0.995987
timestep 59000 of 666781, Norm of wave function: 0.995964
timestep 59200 of 666781, Norm of wave function: 0.995941
timestep 59400 of 666781, Norm of wave function: 0.995918
timestep 59600 of 666781, Norm of wave function: 0.995895
timestep 59800 of 666781, Norm of wave function: 0.995872
timestep 60000 of 666781, Norm of wave function: 0.995848
timestep 60200 of 666781, Norm of wave function: 0.995824
timestep 60400 of 666781, Norm of wave function: 0.9958
timestep 60600 of 666781, Norm of wave function: 0.995776
timestep 60800 of 666781, Norm of wave function: 0.995752
timestep 61000 of 666781, Norm of wave function: 0.995727
timestep 61200 of 666781, Norm of wave function: 0.995702
timestep 61400 of 666781, Norm of wave function: 0.995677
timestep 61600 of 666781, Norm of wave function: 0.995651
timestep 61800 of 666781, Norm of wave function: 0.995625
timestep 62000 of 666781, Norm of wave function: 0.995599
timestep 62200 of 666781, Norm of wave function: 0.995573
timestep 62400 of 666781, Norm of wave function: 0.995546
timestep 62600 of 666781, Norm of wave function: 0.995519
timestep 62800 of 666781, Norm of wave function: 0.995492
timestep 63000 of 666781, Norm of wave function: 0.995464
timestep 63200 of 666781, Norm of wave function: 0.995436
timestep 63400 of 666781, Norm of wave function: 0.995407
timestep 63600 of 666781, Norm of wave function: 0.995379
timestep 63800 of 666781, Norm of wave function: 0.995349
timestep 64000 of 666781, Norm of wave function: 0.99532
timestep 64200 of 666781, Norm of wave function: 0.99529
timestep 64400 of 666781, Norm of wave function: 0.995259
timestep 64600 of 666781, Norm of wave function: 0.995229
timestep 64800 of 666781, Norm of wave function: 0.995197
timestep 65000 of 666781, Norm of wave function: 0.995166
timestep 65200 of 666781, Norm of wave function: 0.995134
timestep 65400 of 666781, Norm of wave function: 0.995101
timestep 65600 of 666781, Norm of wave function: 0.995068
timestep 65800 of 666781, Norm of wave function: 0.995034
timestep 66000 of 666781, Norm of wave function: 0.995
timestep 66200 of 666781, Norm of wave function: 0.994966
timestep 66400 of 666781, Norm of wave function: 0.994931
timestep 66600 of 666781, Norm of wave function: 0.994895
timestep 66800 of 666781, Norm of wave function: 0.994859
timestep 67000 of 666781, Norm of wave function: 0.994823
timestep 67200 of 666781, Norm of wave function: 0.994786
timestep 67400 of 666781, Norm of wave function: 0.994748
timestep 67600 of 666781, Norm of wave function: 0.99471
timestep 67800 of 666781, Norm of wave function: 0.994672
