{-8.324797220704279*^-10 + 1.8628081523941397*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-8.305822381477521*^-10 + 1.8552599752116224*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-8.262430890590872*^-10 + 1.8422974326953666*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-8.194492417766443*^-10 + 1.8239062103345145*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-8.101986744572373*^-10 + 1.80009707588047*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.985010127637783*^-10 + 1.7709072746368918*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.843781635538028*^-10 + 1.7364019164280742*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.678649441806181*^-10 + 1.6966753503544464*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.490097055175601*^-10 + 1.651852523059274*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.27874946858859*^-10 + 1.6020903163967173*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.045379207098662*^-10 + 1.5475788600814943*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-6.790912255152177*^-10 + 1.4885428149309839*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-6.516433842732083*^-10 + 1.4252426221655436*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-6.223194069841597*^-10 + 1.3579757141971953*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-5.912613348224134*^-10 + 1.2870776822395908*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-5.586287639246596*^-10 + 1.2129233960187426*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-5.245993466337083*^-10 + 1.135928070850357*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-4.893692680350666*^-10 + 1.0565482772948175*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-4.531536955795454*^-10 + 9.752828885294449*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-4.161871996534412*^-10 + 8.926739606596273*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-3.7872414284885604*^-10 + 8.093075411192193*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-3.4103903575643546*^-10 + 7.258144003236957*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-3.034268571099466*^-10 + 6.4287068181317776*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-2.662033360842712*^-10 + 5.611984660845909*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-2.297051946004745*^-10 + 4.8156624344544596*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-1.9429034751532898*^-10 + 4.0478929119334955*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-1.6033805858226946*^-10 + 3.317299505943012*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-1.2824905011652607*^-10 + 2.63297799129675*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-9.844556436497515*^-11 + 2.004497136758225*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-7.137137457790105*^-11 + 1.4418982031568502*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-4.7491743895070104*^-11 + 9.556932667616565*^-10*I, 0. + 0.*I, 0. + 0.*I}
{-2.7293330176255548*^-11 + 5.568623279567308*^-10*I, 0. + 0.*I, 0. + 0.*I}
{-1.1284034990813865*^-11 + 2.568491669713718*^-10*I, 0. + 0.*I, 0. + 0.*I}
{7.204931938631835*^-15 + 6.75559102296725*^-11*I, 0. + 0.*I, 0. + 0.*I}
{6.0306854358449265*^-12 + 1.336272631557746*^-12*I, 0. + 0.*I, 0. + 0.*I}
{6.216263379858913*^-12 + 7.098744324059452*^-11*I, 0. + 0.*I, 0. + 0.*I}
{-2.6252755068560155*^-14 + 2.8974058398058586*^-10*I, 0. + 0.*I, 0. + 0.*I}
{-1.330664875616929*^-11 + 6.712499132474655*^-10*I, 0. + 0.*I, 0. + 0.*I}
{-3.4253785824844156*^-11 + 1.2295803488222945*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-6.351501585872451*^-11 + 1.9791936870309305*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-1.0175552986715237*^-10 + 2.9349332979594353*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-1.4965763863142765*^-10 + 4.112007319093701*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-2.0791998488750719*^-10 + 5.525970333143373*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-2.772566863976006*^-10 + 7.192703518595438*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-3.5839640947205395*^-10 + 9.128393264972124*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-4.5208137258710906*^-10 + 1.134950824804903*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-5.590662799923932*^-10 + 1.3872774963643373*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-6.801171852613264*^-10 + 1.6715151722612003*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-8.160102849620517*^-10 + 1.989380111261778*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-9.675306427669936*^-10 + 2.3426060936981613*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-1.135470844519288*^-9 + 2.732941364336635*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-1.3206295849602948*^-9 + 3.162145426102838*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-1.5238101868843675*^-9 + 3.631985686750168*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-1.745819053865981*^-9 + 4.14423396100986*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-1.987464057758399*^-9 + 4.7006628313183477*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-2.2495528623268556*^-9 + 5.303041870435818*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-2.5328911847119936*^-9 + 5.9531337297760765*^-8*I, 0. + 0.*I, 0. + 0.*I}
