{1.2683109545556315*^-7 - 0.00007457289425716553*I, 0. + 0.*I, 0. + 0.*I}
{1.3737456073534598*^-7 - 0.00007998890489209665*I, 0. + 0.*I, 0. + 0.*I}
{1.4674233244629506*^-7 - 0.00008475964441599541*I, 0. + 0.*I, 0. + 0.*I}
{1.5480734619773103*^-7 - 0.0000888235379006819*I, 0. + 0.*I, 0. + 0.*I}
{1.6145378244654117*^-7 - 0.00009212564887624378*I, 0. + 0.*I, 0. + 0.*I}
{1.6657925425976472*^-7 - 0.000094618801999322*I, 0. + 0.*I, 0. + 0.*I}
{1.700969662580445*^-7 - 0.00009626468092360648*I, 0. + 0.*I, 0. + 0.*I}
{1.719378168406576*^-7 - 0.00009703488658385683*I, 0. + 0.*I, 0. + 0.*I}
{1.7205241486947832*^-7 - 0.00009691194071220199*I, 0. + 0.*I, 0. + 0.*I}
{1.7041298141606623*^-7 - 0.00009589021917322784*I, 0. + 0.*I, 0. + 0.*I}
{1.6701510683460507*^-7 - 0.00009397679964537311*I, 0. + 0.*I, 0. + 0.*I}
{1.618793335535511*^-7 - 0.00009119220830002908*I, 0. + 0.*I, 0. + 0.*I}
{1.5505253534525985*^-7 - 0.00008757105044639786*I, 0. + 0.*I, 0. + 0.*I}
{1.4660906464109325*^-7 - 0.00008316251062595862*I, 0. + 0.*I, 0. + 0.*I}
{1.366516406692453*^-7 - 0.00007803070836088388*I, 0. + 0.*I, 0. + 0.*I}
{1.2531195269454694*^-7 - 0.00007225489668883155*I, 0. + 0.*I, 0. + 0.*I}
{1.1275095468806831*^-7 - 0.00006592949175235155*I, 0. + 0.*I, 0. + 0.*I}
{9.915883000778953*^-8 - 0.00005916392305329946*I, 0. + 0.*I, 0. + 0.*I}
{8.475460745619222*^-8 - 0.00005208229552566041*I, 0. + 0.*I, 0. + 0.*I}
{6.978541313449139*^-8 - 0.00004482285631731192*I, 0. + 0.*I, 0. + 0.*I}
{5.4525345975105276*^-8 - 0.00003753726109145289*I, 0. + 0.*I, 0. + 0.*I}
{3.9273968547578466*^-8 - 0.0000303896367489864*I, 0. + 0.*I, 0. + 0.*I}
{2.4354408823971782*^-8 - 0.00002355543971737224*I, 0. + 0.*I, 0. + 0.*I}
{1.0111072862205485*^-8 - 0.000017220111330619045*I, 0. + 0.*I, 0. + 0.*I}
{-3.0930270810113654*^-9 - 0.000011577534317004734*I, 0. + 0.*I, 0. + 0.*I}
{-1.4879319794254383*^-8 - 6.828296991354077*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-2.4857083663753668*^-8 - 3.17777438991293*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-3.2627197556075844*^-8 - 8.340382587602949*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-3.77862100963221*^-8 - 5.610479548954089*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-3.9930698494571273*^-8 - 8.990771560235715*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-3.866188322966034*^-8 - 3.7165831564218843*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-3.3590460212577476*^-8 - 8.653229374860758*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-2.434160757502509*^-8 - 0.0000158943973028753*I, 0. + 0.*I, 0. + 0.*I}
{-1.0560120021208688*^-8 - 0.000025613027654040157*I, 0. + 0.*I, 0. + 0.*I}
{8.084380195538593*^-9 - 0.000037966881724103623*I, 0. + 0.*I, 0. + 0.*I}
{3.189221007604242*^-8 - 0.00005309581586131918*I, 0. + 0.*I, 0. + 0.*I}
{6.112842790785599*^-8 - 0.00007111910083309237*I, 0. + 0.*I, 0. + 0.*I}
{9.601773047140877*^-8 - 0.00009213281897414115*I, 0. + 0.*I, 0. + 0.*I}
{1.3673950733836367*^-7 - 0.00011620737275927959*I, 0. + 0.*I, 0. + 0.*I}
{1.8342311549202691*^-7 - 0.00014338513883458133*I, 0. + 0.*I, 0. + 0.*I}
{2.361434382212952*^-7 - 0.00017367830154224332*I, 0. + 0.*I, 0. + 0.*I}
