nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	79.9977
Total number of grid points: 	799
Distance at last grid point: 	80
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 39950
Now I am storing
Norm of orbital: 1.000000e+00
timestep 31700 of 654686, Norm of wave function: 0.996402
timestep 31800 of 654686, Norm of wave function: 0.99639
timestep 31900 of 654686, Norm of wave function: 0.996379
timestep 32000 of 654686, Norm of wave function: 0.996367
timestep 32100 of 654686, Norm of wave function: 0.996356
timestep 32200 of 654686, Norm of wave function: 0.996344
timestep 32300 of 654686, Norm of wave function: 0.996333
timestep 32400 of 654686, Norm of wave function: 0.996322
timestep 32500 of 654686, Norm of wave function: 0.99631
timestep 32600 of 654686, Norm of wave function: 0.996299
timestep 32700 of 654686, Norm of wave function: 0.996287
timestep 32800 of 654686, Norm of wave function: 0.996276
timestep 32900 of 654686, Norm of wave function: 0.996264
timestep 33000 of 654686, Norm of wave function: 0.996253
timestep 33100 of 654686, Norm of wave function: 0.996241
timestep 33200 of 654686, Norm of wave function: 0.99623
timestep 33300 of 654686, Norm of wave function: 0.996218
timestep 33400 of 654686, Norm of wave function: 0.996207
timestep 33500 of 654686, Norm of wave function: 0.996196
timestep 33600 of 654686, Norm of wave function: 0.996184
timestep 33700 of 654686, Norm of wave function: 0.996173
timestep 33800 of 654686, Norm of wave function: 0.996161
timestep 33900 of 654686, Norm of wave function: 0.99615
timestep 34000 of 654686, Norm of wave function: 0.996138
timestep 34100 of 654686, Norm of wave function: 0.996127
timestep 34200 of 654686, Norm of wave function: 0.996115
timestep 34300 of 654686, Norm of wave function: 0.996104
timestep 34400 of 654686, Norm of wave function: 0.996092
timestep 34500 of 654686, Norm of wave function: 0.996081
timestep 34600 of 654686, Norm of wave function: 0.996069
timestep 34700 of 654686, Norm of wave function: 0.996058
timestep 34800 of 654686, Norm of wave function: 0.996046
timestep 34900 of 654686, Norm of wave function: 0.996035
timestep 35000 of 654686, Norm of wave function: 0.996024
timestep 35100 of 654686, Norm of wave function: 0.996012
timestep 35200 of 654686, Norm of wave function: 0.996001
timestep 35300 of 654686, Norm of wave function: 0.995989
timestep 35400 of 654686, Norm of wave function: 0.995978
timestep 35500 of 654686, Norm of wave function: 0.995966
timestep 35600 of 654686, Norm of wave function: 0.995955
timestep 35700 of 654686, Norm of wave function: 0.995943
timestep 35800 of 654686, Norm of wave function: 0.995932
timestep 35900 of 654686, Norm of wave function: 0.99592
timestep 36000 of 654686, Norm of wave function: 0.995909
timestep 36100 of 654686, Norm of wave function: 0.995897
timestep 36200 of 654686, Norm of wave function: 0.995886
timestep 36300 of 654686, Norm of wave function: 0.995874
timestep 36400 of 654686, Norm of wave function: 0.995863
timestep 36500 of 654686, Norm of wave function: 0.995851
timestep 36600 of 654686, Norm of wave function: 0.99584
timestep 36700 of 654686, Norm of wave function: 0.995828
timestep 36800 of 654686, Norm of wave function: 0.995816
timestep 36900 of 654686, Norm of wave function: 0.995805
timestep 37000 of 654686, Norm of wave function: 0.995793
timestep 37100 of 654686, Norm of wave function: 0.995782
timestep 37200 of 654686, Norm of wave function: 0.99577
timestep 37300 of 654686, Norm of wave function: 0.995759
timestep 37400 of 654686, Norm of wave function: 0.995747
timestep 37500 of 654686, Norm of wave function: 0.995736
timestep 37600 of 654686, Norm of wave function: 0.995724
timestep 37700 of 654686, Norm of wave function: 0.995713
timestep 37800 of 654686, Norm of wave function: 0.995701
timestep 37900 of 654686, Norm of wave function: 0.995689
timestep 38000 of 654686, Norm of wave function: 0.995678
timestep 38100 of 654686, Norm of wave function: 0.995666
timestep 38200 of 654686, Norm of wave function: 0.995655
timestep 38300 of 654686, Norm of wave function: 0.995643
timestep 38400 of 654686, Norm of wave function: 0.995632
timestep 38500 of 654686, Norm of wave function: 0.99562
timestep 38600 of 654686, Norm of wave function: 0.995608
timestep 38700 of 654686, Norm of wave function: 0.995597
timestep 38800 of 654686, Norm of wave function: 0.995585
timestep 38900 of 654686, Norm of wave function: 0.995574
timestep 39000 of 654686, Norm of wave function: 0.995562
timestep 39100 of 654686, Norm of wave function: 0.99555
timestep 39200 of 654686, Norm of wave function: 0.995539
timestep 39300 of 654686, Norm of wave function: 0.995527
timestep 39400 of 654686, Norm of wave function: 0.995515
timestep 39500 of 654686, Norm of wave function: 0.995504
timestep 39600 of 654686, Norm of wave function: 0.995492
timestep 39700 of 654686, Norm of wave function: 0.99548
timestep 39800 of 654686, Norm of wave function: 0.995469
timestep 39900 of 654686, Norm of wave function: 0.995457
timestep 40000 of 654686, Norm of wave function: 0.995445
timestep 40100 of 654686, Norm of wave function: 0.995434
timestep 40200 of 654686, Norm of wave function: 0.995422
timestep 40300 of 654686, Norm of wave function: 0.99541
timestep 40400 of 654686, Norm of wave function: 0.995399
timestep 40500 of 654686, Norm of wave function: 0.995387
timestep 40600 of 654686, Norm of wave function: 0.995375
timestep 40700 of 654686, Norm of wave function: 0.995364
timestep 40800 of 654686, Norm of wave function: 0.995352
timestep 40900 of 654686, Norm of wave function: 0.99534
timestep 41000 of 654686, Norm of wave function: 0.995329
timestep 41100 of 654686, Norm of wave function: 0.995317
timestep 41200 of 654686, Norm of wave function: 0.995305
timestep 41300 of 654686, Norm of wave function: 0.995293
timestep 41400 of 654686, Norm of wave function: 0.995282
timestep 41500 of 654686, Norm of wave function: 0.99527
timestep 41600 of 654686, Norm of wave function: 0.995258
timestep 41700 of 654686, Norm of wave function: 0.995246
timestep 41800 of 654686, Norm of wave function: 0.995235
timestep 41900 of 654686, Norm of wave function: 0.995223
timestep 42000 of 654686, Norm of wave function: 0.995211
timestep 42100 of 654686, Norm of wave function: 0.995199
timestep 42200 of 654686, Norm of wave function: 0.995187
timestep 42300 of 654686, Norm of wave function: 0.995176
timestep 42400 of 654686, Norm of wave function: 0.995164
timestep 42500 of 654686, Norm of wave function: 0.995152
timestep 42600 of 654686, Norm of wave function: 0.99514
timestep 42700 of 654686, Norm of wave function: 0.995128
timestep 42800 of 654686, Norm of wave function: 0.995117
timestep 42900 of 654686, Norm of wave function: 0.995105
timestep 43000 of 654686, Norm of wave function: 0.995093
timestep 43100 of 654686, Norm of wave function: 0.995081
timestep 43200 of 654686, Norm of wave function: 0.995069
timestep 43300 of 654686, Norm of wave function: 0.995057
timestep 43400 of 654686, Norm of wave function: 0.995046
timestep 43500 of 654686, Norm of wave function: 0.995034
timestep 43600 of 654686, Norm of wave function: 0.995022
timestep 43700 of 654686, Norm of wave function: 0.99501
timestep 43800 of 654686, Norm of wave function: 0.994998
timestep 43900 of 654686, Norm of wave function: 0.994986
timestep 44000 of 654686, Norm of wave function: 0.994974
timestep 44100 of 654686, Norm of wave function: 0.994962
timestep 44200 of 654686, Norm of wave function: 0.99495
timestep 44300 of 654686, Norm of wave function: 0.994939
timestep 44400 of 654686, Norm of wave function: 0.994927
timestep 44500 of 654686, Norm of wave function: 0.994915
timestep 44600 of 654686, Norm of wave function: 0.994903
timestep 44700 of 654686, Norm of wave function: 0.994891
timestep 44800 of 654686, Norm of wave function: 0.994879
timestep 44900 of 654686, Norm of wave function: 0.994867
timestep 45000 of 654686, Norm of wave function: 0.994855
timestep 45100 of 654686, Norm of wave function: 0.994843
timestep 45200 of 654686, Norm of wave function: 0.994831
timestep 45300 of 654686, Norm of wave function: 0.994819
timestep 45400 of 654686, Norm of wave function: 0.994807
timestep 45500 of 654686, Norm of wave function: 0.994795
timestep 45600 of 654686, Norm of wave function: 0.994783
timestep 45700 of 654686, Norm of wave function: 0.994771
timestep 45800 of 654686, Norm of wave function: 0.994759
timestep 45900 of 654686, Norm of wave function: 0.994747
timestep 46000 of 654686, Norm of wave function: 0.994735
timestep 46100 of 654686, Norm of wave function: 0.994723
timestep 46200 of 654686, Norm of wave function: 0.994711
timestep 46300 of 654686, Norm of wave function: 0.994699
timestep 46400 of 654686, Norm of wave function: 0.994687
timestep 46500 of 654686, Norm of wave function: 0.994675
timestep 46600 of 654686, Norm of wave function: 0.994663
timestep 46700 of 654686, Norm of wave function: 0.994651
timestep 46800 of 654686, Norm of wave function: 0.994639
timestep 46900 of 654686, Norm of wave function: 0.994627
timestep 47000 of 654686, Norm of wave function: 0.994615
timestep 47100 of 654686, Norm of wave function: 0.994602
timestep 47200 of 654686, Norm of wave function: 0.99459
timestep 47300 of 654686, Norm of wave function: 0.994578
timestep 47400 of 654686, Norm of wave function: 0.994566
timestep 47500 of 654686, Norm of wave function: 0.994554
timestep 47600 of 654686, Norm of wave function: 0.994542
timestep 47700 of 654686, Norm of wave function: 0.99453
timestep 47800 of 654686, Norm of wave function: 0.994517
timestep 47900 of 654686, Norm of wave function: 0.994505
timestep 48000 of 654686, Norm of wave function: 0.994493
